Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"Meteor.header.contexts.Stargate.placeholder",DB17.DBX0.0,Boolean,1,R,100,,,,,,,,,,,
"Meteor.contexts.Stargate.Stargate1.alarms",DB17.W0[100],word Array,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.son",DB17.STRING200.10,string,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.inr",DB17.STRING212.15,string,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.lotsize",DB17.DINT230,dint,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.mode",DB17.INT234,int,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.rfd",DB17.X236.0,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.rfu",DB17.X236.1,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.run",DB17.X236.2,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.idle",DB17.X236.3,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.manual_mode",DB17.X236.4,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.machine_started",DB17.X236.5,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.positioning_act",DB17.X236.6,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.pos_act_mach_positioned",DB17.X236.7,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.conv_belts_act",DB17.X237.0,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.link_conv_belts_act",DB17.X237.1,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.sorters_act",DB17.X237.2,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.vessel_level_contr_act",DB17.X237.3,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.release_infeed_act",DB17.X237.4,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.ipc_100_akt",DB17.X237.5,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.vessel_empty_cyc_act",DB17.X237.6,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.vessel_empty_act",DB17.X237.7,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.priming_self_otp_act",DB17.X238.0,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.flushing_act",DB17.X238.1,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.cycl_flushing_act",DB17.X238.2,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.pre_ft_act",DB17.X238.3,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.post_ft_pf1_act",DB17.X238.4,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.post_ft_pf2_act",DB17.X238.5,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.perm_dosing_act",DB17.X238.6,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.perm_plunger",DB17.X238.7,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.self_opt_act",DB17.X239.0,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.bleed_prod_filter_act",DB17.X239.1,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.lt_rutten_vessel_act",DB17.X239.2,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.lt_vessel_susp_act",DB17.X239.3,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.lt_vessel_sol_act",DB17.X239.4,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.purging_susp_act",DB17.X239.5,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.purging_sol_act",DB17.X239.6,bool,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.total_containers",DB17.DINT240,dint,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.total_tubs",DB17.DINT244,dint,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.tubs",DB17.DINT248,dint,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.filled_containers",DB17.DINT252,dint,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.strokes_priming",DB17.DINT256,dint,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.strokes_flushing",DB17.DINT260,dint,1,R/W,1000,,,,,,,,,,"",
"Meteor.contexts.Stargate.Stargate1.reject_5",DB17.D264,real,1,R/W,1000,,,,,,,,,,"",
